SARS-CoV-2_L2FC,padj_SARS-CoV-2
SQRDL,0.4219360977,0.0119669157
TUBA4A,0.4216820905,0.0004953284
PML,0.4207141231,0.0251955882
MICALCL,0.4192583172,0.022275283
SLC11A2,0.4178778932,0.0036548439
TUBB4B,0.4172796728,0.0002859869
TAP1,0.4116623151,0.0002042558
STAP2,0.4111630993,0.0045714029
FXYD5,0.4089285125,0.0002785375
F3,0.40879898,3.27E-06
USP54,0.4083474867,0.0056657886
ADAM28,0.4065891102,0.0057373052
IDI1,0.4062771506,4.46E-05
USB1,0.406130664,0.0002556342
LOC100862671,0.4055421335,0.0038027346
MICAL2,0.4051168495,0.008455407
HDGF,0.4049285173,6.14E-08
IFNGR1,0.4001773283,0.0108634062
SLC25A28,0.4000324976,0.0038027346
NAMPT,0.4000245237,0.0158492812
ALDH1A3,0.3994261141,6.52E-05
UBE2L6,0.3988752993,0.0034732924
PTAFR,0.3984711839,3.11E-05
PLK3,0.3950411324,0.0363686924
TUBB2A,0.3934006523,0.046476707
RANGAP1,0.3925281666,0.0171662516
LDLR,0.3917477125,2.97E-05
BTG3,0.3906103283,0.0396245636
AMPD3,0.3899366116,0.0130054935
SERPINB8,0.3879753429,0.0031334207
FAM57A,0.3859780569,0.0140531046
FST,0.385142336,0.0058594046
GJB4,0.3810726671,0.0227029947
RRP1,0.3804418971,0.018767074
PSME2,0.3799772943,0.0200728406
DUSP1,0.3789243946,0.0189481145
FAM83A,0.3789108641,1.33E-06
SRM,0.3786592989,0.0329170751
ENO2,0.3777624165,0.044399805
FUT2,0.3764936387,0.0382777666
FLNB,0.3748161473,0.0001092555
HAS3,0.3744759425,5.28E-05
AFAP1L1,0.3744616327,0.0150192131
ERRFI1,0.3743838697,0.0055452344
LYN,0.3732802987,0.0177159379
CDCP1,0.3715414696,6.82E-06
TUBB,0.3713166097,0.0061425078
GNA15,0.3701932753,0.0409426094
B4GALT2,0.3700254959,0.0147706606
LAMB3,0.3699823744,0.0017580074
PPP1R15A,0.3687934006,0.0022105494
TPCN1,0.3679228062,0.0138573469
TGFA,0.3665887383,0.0106795857
TRIM14,0.3660378677,0.0033228346
GJB3,0.3647933328,0.0045953429
ISG20L2,0.362670085,0.0072301343
TINF2,0.3592656446,0.0149623342
SH3KBP1,0.3567215486,0.0098364661
POLR3E,0.3555405437,0.044432181
PCSK9,0.3552732529,0.0470437588
TUBG1,0.355026215,0.0284683419
RAB11FIP1,0.3541441924,0.0056892219
E2F4,0.3527991536,0.013522676
LAP3,0.3525611038,0.0239932727
COL12A1,0.3520371443,0.010237849
SMAD3,0.3519670497,0.0005577971
CSRP1,0.3508617351,0.0038146814
HK2,0.3506204385,0.0003233462
SHB,0.3500968343,0.0171662516
UFD1L,0.3493488836,0.0200728406
SDC4,0.3490818102,0.0120894085
VARS,0.3468511357,0.0176443665
ANXA1,0.3466404728,0.0058594046
HMOX2,0.3458639949,0.0033549302
CSNK1E,0.344084026,0.0025221107
TFPI2,0.3425818015,0.0014116987
TICAM1,0.3421798579,0.0239394927
B4GALT1,0.3419787345,8.74E-05
PWP2,0.3417858679,0.0277110948
PDIA5,0.3411369334,0.014520114
NCOA7,0.3401525876,0.035766262
CCT5,0.33815294,0.0125868044
C1orf74,0.3368559281,0.0208840952
ARHGEF2,0.336343189,0.0013891135
ATP1B1,0.3357377677,0.0064551465
ALAS1,0.3355000206,0.0258644364
CTPS1,0.3349034973,0.0035972708
HMGCS1,0.3348077472,0.046476707
PPIF,0.3339091408,0.0222386506
NDRG2,0.3339058073,0.031960322
TRIM25,0.3331291111,0.0068376265
ANXA6,0.3320381579,0.0365578449
ANXA8L2,0.3320255211,0.0307497411
PLEK2,0.3298531525,0.0237138581
TRIM16,0.3296600597,0.0067981089
NLRP1,0.3262436244,0.0031334207
ADAM19,0.3248035904,0.0151368963
SQLE,0.3224548648,0.0363686924
UCK2,0.3217321146,0.0259014563
ELOVL1,0.3207694987,0.0062649831
IL1RN,0.3199234925,0.039164726
GTPBP2,0.3178173402,0.003271959
LETM1,0.3165709217,0.0137153312
MTSS1,0.3162986958,0.0001249299
TOR1B,0.3139048103,0.0230940941
NECAP2,0.313496949,0.0173272611
FNDC3B,0.3132941286,0.0227641075
MOGS,0.3128066181,0.0194432909
MYC,0.3113017028,0.0096489065
HIVEP2,0.3108652591,0.0054904063
AFAP1,0.3099491857,0.0020076132
LTBP2,0.3094099624,0.0107853752
LAMC2,0.3074276557,0.0035396387
PARP14,0.3063883566,0.0111342287
PDPN,0.3062526762,0.0031887874
DAPP1,0.3061920192,0.0088808657
MAOA,0.3049017886,0.0266658938
MLLT11,0.3045075329,0.0446351523
UPP1,0.3031247262,0.0237138581
TTC9,0.3027781483,0.0081193624
AKAP12,0.3027327982,0.0398413388
FLII,0.3013576653,0.0189481145
NOP2,0.3009756148,0.0090808504
SH3PXD2B,0.2975879602,0.0028087994
KIRREL,0.2972416285,0.0288784842
CTSC,0.2967371699,0.0017303524
MARCKSL1,0.2964631023,0.0184624906
PSTPIP2,0.2963235444,0.0261000977
TUFM,0.2960333105,0.0044589257
ACLY,0.295211389,0.0055525363
NAA10,0.2937090125,0.0363686924
SAT1,0.2936981439,0.0036548439
ARF4,0.2934073035,0.035787201
LSS,0.2931688222,0.0140531046
ATF4,0.2920195606,0.0484636564
ENTPD3,0.291392708,0.0132131664
MYO10,0.290799425,0.0144681587
COPG1,0.2900313869,0.0239394927
KIF3C,0.2894394217,0.0487133663
KIAA0100,0.2893874503,0.0300759139
BTG1,0.2873578784,0.0115148713
MAST4,0.2835078039,0.036712954
HDAC7,0.2833749538,0.0320949957
MICA,0.2827482882,0.044190132
TNFAIP1,0.2800678484,0.0090385894
TAP2,0.2780481122,0.0318939241
PSMC3,0.2766097151,0.0429438282
OSMR,0.2764224828,0.0382777666
FAM50A,0.275152613,0.0108909043
SIPA1L1,0.2745833177,0.0222747395
STAT2,0.2731599139,0.0312705149
OGDH,0.2727530326,0.0200728406
HMGB3,0.272124242,0.019721351
SLFN5,0.271211321,0.0054056365
PNP,0.27011557,0.0492917423
TCEB3,0.2592461452,0.0340167972
PXDN,0.2572699887,0.0286017281
RHOC,0.2545701298,0.0329170751
MYO1B,0.2512526968,0.0261754374
MSN,0.2496721516,0.0396444059
HYOU1,0.2447226787,0.0191149156
DDX23,0.2374561237,0.0381757461
SP100,0.2325946724,0.0440875483
GCN1L1,0.2293156564,0.0471627629
TNFRSF10B,0.2267156465,0.0241335829
NSFL1C,0.2247267618,0.0365578449
PA2G4,0.2188329727,0.0326147676
TENM2,0.2143157214,0.0480962916
PKM,0.196322564,0.0493975641
BHLHE40,0.1944997849,0.0165592681
CCND2,-0.2167414383,0.0480948059
DSC2,-0.2232946089,0.0133596384
HEG1,-0.248591747,0.0158492812
FLRT2,-0.2641396187,0.0433240359
LGALS8,-0.2658770767,0.0070899822
VWA8,-0.2703140387,0.0291760274
TMEM131,-0.273173268,0.0028561522
DSC3,-0.2744330332,0.0258076099
DSG3,-0.2804559517,0.0068011448
SULF2,-0.2815613232,0.0277303101
PUM2,-0.2851510766,0.0409426094
SMAD5,-0.2855733734,0.0132051273
ABLIM1,-0.2878291352,0.014180776
CTGF,-0.2983482134,0.0393643624
CBR1,-0.3063337892,0.0210689569
WLS,-0.3088440959,0.0132110909
MEF2A,-0.3100691658,0.0428791133
SRGAP3,-0.3142916063,0.038129628
ACSL1,-0.3198675962,0.0006727094
ZNF395,-0.3256414707,0.0222386506
TIMP3,-0.3284690307,0.0049139813
SNHG8,-0.332471028,0.0100682619
ZNF507,-0.335304096,0.0414707742
SORL1,-0.3354205844,0.0470437588
PRCP,-0.339947736,0.0351071487
LPCAT3,-0.3415222169,0.0133596384
PARD6G,-0.3441677208,0.0363582562
TNKS2,-0.3444806268,0.013107017
GCLC,-0.3456610322,0.0042612096
ERF,-0.3496856953,0.0259014563
NFIL3,-0.352614755,0.044432181
CEP55,-0.3542625045,0.0239613584
CREG1,-0.3562730969,0.0191559587
FAT2,-0.3591684277,0.0002444118
CTDSPL,-0.3594988712,0.0055872671
GBP6,-0.3614927205,0.004865944
SCP2,-0.3626353561,0.0252198562
NRP1,-0.3629528159,0.0036548439
PGRMC2,-0.3641912697,0.0156359189
FGFR2,-0.3657900035,0.0367714675
TMEM194A,-0.371255616,0.015980971
RPL17,-0.3721706803,0.0389272329
STRBP,-0.3722561113,0.0174865051
ANKH,-0.3735468948,0.0382777666
MTUS1,-0.3759133727,0.01339263
CETN3,-0.3779452304,0.032971811
TOP2A,-0.3783261236,0.0289177306
FYB,-0.3785723371,0.0061425078
TMEM50B,-0.3788872271,0.0241335829
DST,-0.3799010632,0.0057124323
CKAP2,-0.3871667987,0.0089707233
PDCD4,-0.3894702818,0.0004267983
CYBRD1,-0.397916254,0.029968893
ELOVL4,-0.397997708,0.0338703843
BACE1,-0.3981851062,0.0215078504
FAM110C,-0.3982027576,0.044190132
SPARC,-0.4004460364,0.0020475623
SLC7A8,-0.4014131043,0.0434160526
NR2F2,-0.4015839002,0.0055908453
KLHDC8B,-0.4051251086,0.0120180271
ZNF704,-0.4072930941,0.0162851743
DEK,-0.4156205245,6.34E-06
RPL9,-0.4161702011,0.0009458439
FKBP5,-0.4176382227,0.0031334207
RNF128,-0.4211733407,0.0108634062
FAM129A,-0.4226148385,0.0064029035
PPDPF,-0.4255286444,0.0187820718
UST,-0.4256947757,0.033735677
CD109,-0.437262299,2.62E-06
VSNL1,-0.439553465,0.0248314018
FLRT3,-0.4403381511,0.014127044
CCDC14,-0.4406030386,0.0002181744
PRSS23,-0.4435229503,9.47E-06
KCNMA1,-0.4444665757,0.0017303524
ADD3,-0.4448776856,0.0003233462
MYCL1,-0.4461044728,0.0228883359
LXN,-0.4537647194,0.02727327
NT5DC3,-0.4540160957,0.004377312
TMEM99,-0.4563313755,0.0491269976
SMEK2,-0.4567713597,0.0250364016
ENDOD1,-0.4588049935,2.16E-06
CCNA2,-0.4601927203,0.0382777666
SLC26A2,-0.4605515869,0.0032922362
GPSM2,-0.4662401771,0.0237138581
CENPF,-0.4668803473,0.0225693297
NMRK1,-0.4722756489,0.0148775247
AQP3,-0.4779500978,4.71E-05
PALMD,-0.479035803,0.018846336
ZCCHC10,-0.4795205685,0.0123994927
EXPH5,-0.4815282977,0.0367714675
NPNT,-0.4827110693,0.029010703
CPA4,-0.4839584125,3.37E-06
CHKA,-0.485598765,0.0351071487
FAT4,-0.4887925857,0.0051618372
NR1D2,-0.5010856398,0.0089314424
FOXO1,-0.5012440242,0.0031724029
CTSH,-0.509398827,0.0004878304
FAM49A,-0.5211096957,0.0302810531
TP53INP1,-0.5221030036,0.0028935684
LCA5,-0.5274394234,0.0106795857
SLAMF7,-0.5292815376,0.0128245554
CLCA2,-0.532759824,1.79E-10
PHTF2,-0.5373460227,0.0394749221
FAM178A,-0.5380827124,0.020297845
DUSP10,-0.5399553251,6.86E-06
TCF4,-0.542038058,0.0002656391
DTD2,-0.5475239382,0.0171662516
EGFL6,-0.5478906139,0.0120180271
MCOLN3,-0.5552328444,0.0041196211
IL6R,-0.5585922445,0.0004441049
PRKACB,-0.5724597806,0.0075561926
SLITRK6,-0.5759789834,6.19E-05
PDE5A,-0.5808085618,0.0443596482
SPTLC3,-0.5826880835,0.001136089
ALDH3A1,-0.5828094318,0.0028935684
MN1,-0.5833418299,0.0001319382
LOC100294145,-0.5879219033,0.031960322
BLNK,-0.589966463,0.0007210442
PCDH7,-0.5962245869,1.15E-05
PADI3,-0.6015079359,0.0005401985
VAV3,-0.6088049979,8.09E-05
TFCP2L1,-0.6167317693,1.63E-12
LY6D,-0.6207904507,0.0049389476
PBX1,-0.6287630387,4.34E-06
PROS1,-0.629861335,1.15E-05
SYTL5,-0.6370063092,0.0154571652
DBP,-0.6446149468,0.0078799916
RAB30,-0.6462198557,0.0042679826
TCN1,-0.6469114225,0.0005106755
PTPRZ1,-0.6494609949,0.0009476124
SEMA3E,-0.6651681036,0.0347191206
EXTL2,-0.6692661403,0.0154571652
RAB15,-0.6787132867,0.0001432743
EFCAB7,-0.6791179614,0.0009458439
TSC22D3,-0.693436166,1.91E-10
IRF2BPL,-0.694787078,0.0002133264
CYP2B7P1,-0.7075159201,0.0079154598
FGF1,-0.7257535736,0.0009458439
CREG2,-0.7358111581,0.0165117062
CENPA,-0.7383337319,0.0396568917
BBOX1,-0.7504967114,0.0480948059
GPNMB,-0.7550124255,2.06E-07
LRMP,-0.7626214257,0.0020475623
GULP1,-0.7668753911,0.0007222539
EPHA4,-0.7676592992,1.79E-05
CD86,-0.773910391,0.0227029947
SOX6,-0.7752241287,0.0040661589
MAF,-0.7756681296,1.36E-05
HSD17B3,-0.7960467777,0.0138635908
MIR221,-0.8066086719,0.0252536426
CDH10,-0.808556905,0.0063953518
SEPP1,-0.8262077891,1.55E-05
CYP4F3,-0.8412315561,0.0120894085
MXRA5,-0.8553936951,5.95E-09
PDK4,-0.8553964133,0.0492917423
KRT15,-0.8889782774,6.35E-11
OLFML2A,-0.9102776689,1.35E-11
PPARGC1A,-0.9124891346,9.37E-05
THBD,-0.9165810263,2.37E-08
ZNF488,-0.9252327441,0.0019802227
METTL7A,-0.9477133757,3.86E-07
ATG9B,-0.9509226806,0.0004257861
VTCN1,-0.9603433724,4.74E-06
RBM20,-1.0007296511,0.0106329795
NID1,-1.0124155048,0.0002375612
NANOS1,-1.0995534901,0.0009675079
STON1,-1.1008099037,0.0008604525
MAP7D2,-1.1296381516,4.03E-05
CXCL14,-1.1745214852,1.38E-05
MYLK,-1.1912561138,2.55E-06
IFITM10,-1.3334732907,1.15E-08
XAF1,1.8093136294,1
BATF2,0.2773709736,0.7320877559
GBP1,0.3395978505,0.1313966924
NLRC5,-0.0371580373,0.9682118504
USP18,0.3102837251,0.6280091751
DHX58,0.3895036482,0.4592325165
TRANK1,-0.1536166277,0.6385736375
CXCL3,1.7465670993,1
TDRD7,0.0986826026,0.8510088543
TMEM140,0.0601052037,0.9417923836
TRIM21,0.3235202633,0.0794041154
ZNFX1,0.2293724616,0.0578736754
IFIT5,0.1013874056,0.8053763539
EIF2AK2,0.2297192063,0.4402920755
SP110,0.0704142281,0.8643253434
PNPT1,-0.0588453957,1
LOC152225,0.1682424579,0.8190789496
CD83,0.4520737025,0.4477953597
CSF1,0.4138650285,0.1372401853
SOX9,0.0054011882,0.9891387714
IL16,-0.4845916686,0.4222996641
TRIM5,0.1141301049,0.5518020224
LOC100134229,-0.0084496979,0.9943267095
RNF19B,0.1768546277,0.5079018165
CEACAM1,0.1046346341,0.7415041754
GBP3,0.0934787131,0.6893684267
TBX3,-0.1287333347,0.798569354
SLC25A25,0.1035222995,0.8576304547
PDCD1LG2,0.4942693211,0.4200472157
ZNF107,-0.3133475767,0.5561709133
ULBP1,0.0112456045,0.9891599439
RBBP8NL,0.0163506247,0.989115022
GATSL3,-0.1772135085,0.7432496183
CASP7,0.0174808884,0.9638410003
RGMB,-0.0831985462,0.8399594518
IFI16,0.0522511393,0.8399594518
SPRY2,0.2709116321,0.505473662
B3GNT7,0.1004127744,0.8088528926
RAB8B,0.0620643713,0.8796610436
SUSD4,0.1987624505,0.8224432832
HIP1R,0.0259817626,0.9664638466
CYLD,0.2157852648,0.1678720724
SIRT1,-0.278744098,0.4470747686
GNB4,-0.0004938858,0.9991023289
RARRES3,-0.4024316669,0.1348895961
DNAJA1,0.1266854276,0.5587860682
UNC93B1,0.2164392051,0.634133367
ADAR,0.2433649725,0.0946700174
FMR1,-0.2320702036,0.1954170131
CLDN16,-0.3133358999,0.5834046067
TRIM56,-0.0779489593,0.8778158128
ZCCHC2,-0.0213226471,0.963732302
RIPK1,0.02812965,0.9433537196
HLA-E,0.0598307256,0.8511635298
CORO6,0.0839009737,0.9015066264
PANX1,0.1692618264,0.529080817
HIAT1,-0.2801505744,0.0795724373
IFRD1,-0.1110774361,0.7463033918
PLEKHF2,-0.411944213,1
SLC12A7,0.2284222348,0.6470768962
N4BP1,0.2751344242,0.0520970978
ZNF136,-0.0681123892,0.9088238617
GPBP1,0.0274463356,0.9389671265
SMARCA5,-0.095791722,1
ZFYVE26,0.0920176285,0.7849933598
CLIC4,-0.0171533923,1
CAB39,-0.0008157678,0.9972667958
OPTN,0.1722604635,0.2229238321
PVRL3,-0.3025344764,0.6070370963
KBTBD7,0.2449300959,0.6039151783
ERAP2,-0.0363600296,0.9107850323
RICTOR,-0.0362507949,0.9447348283
GPR180,-0.1765017522,0.6732558241
AZI2,-0.0603141229,0.9173716935
MORC3,-0.1307276492,0.5226843086
RP2,0.0686932814,0.8265476806
TEP1,-0.1040999396,0.7428175876
PGM2L1,0.0205656709,0.9663280896
SPRED3,0.307082524,0.2632949965
ELK4,-0.134342374,0.6184711507
ELF1,-0.1849157396,0.2807653996
KLF10,-0.0160085829,0.9627595024
PTGS1,-0.2459045111,0.7522938136
VEZF1,-0.11112264,0.6593729372
FUT4,-0.0563198711,0.9484119655
GRB10,0.2005520808,0.3063313334
SGK1,0.0314552907,0.9442553013
GNA13,-0.4579681155,1
FSD1L,-0.0709965643,0.9300395008
CSRNP2,0.0448297673,0.8893085969
VLDLR,-0.0587598588,0.845831219
DDX3X,-0.1187169795,0.6418861647
PLEKHG6,0.1473175849,0.8234383423
FAP,0.0747099515,0.8763646235
ZNF841,-0.159482667,0.5960465474
GTF2B,-0.0123436374,0.9778183422
RND3,0.1394344817,0.3835460521
RBM7,-0.1671370558,1
KLF6,0.12647646,0.611164313
KLHL28,-0.0080275661,0.9893300767
RYBP,-0.1723197078,1
EIF5,-0.2044002565,0.3533490164
CTSO,-0.1866311986,0.653188205
PIGA,0.0105627787,0.9884345849
ANKFY1,0.1554830581,0.3157782361
QKI,0.0558025417,0.8978702745
BMPR2,-0.0444650144,0.8623745505
EFR3A,-0.0483854973,0.8793944828
MBP,-0.2351216258,0.2606715241
RNF19A,0.0296325186,0.9315757617
LEPREL1,0.0534678539,0.8835784833
RRAGC,-0.2394619894,0.4287883647
AIDA,-0.1096810686,0.7979248682
ZFP36L1,0.1288855671,0.4058378223
ABCG1,0.2445373817,0.296352673
TOR1AIP1,-0.1117441133,0.614225498
WASL,-0.0136352095,0.9682118504
DCAF10,-0.1980956804,0.6680276496
TMX1,-0.1642678702,0.5129492012
ZNF432,-0.174176577,0.455602915
KIAA1033,-0.1631572831,1
CD2AP,-0.0883604685,0.7365112359
GRB7,0.1427090178,0.6289704909
SEC24A,0.1815872769,0.4862839452
UBXN2A,0.2667693588,1
SH2D5,0.0095279114,0.9897766093
DGAT1,0.1552508952,1
MCL1,-0.0636289505,0.75920843
TMEM45A,-0.0352649468,0.9265442048
GALNT3,0.007258761,0.9865297016
THBS1,0.2007098271,0.0891351357
SLC9A8,0.2225407596,0.377375613
TMED5,-0.242188249,0.3157782361
TM2D2,-0.0562071062,0.8710014159
TRAF6,-0.0028196218,0.9949466711
MAP2K3,0.3442268109,0.0922666855
ARID4B,-0.0968971318,0.7419963509
NT5E,0.1237895452,0.6919499426
PPP2R2A,-0.1091937573,0.7500279342
NR3C1,-0.2247780797,0.308875448
HERPUD1,0.0592666236,0.8131610312
ALCAM,-0.2057032605,0.1978122427
CREB1,-0.0682218315,1
PPP2CB,-0.0987971103,0.6588329044
ZNF654,-0.2805273737,1
IFNGR2,0.2923107779,0.0703620803
RAB31,-0.0789995684,1
ARSJ,0.2175133287,0.344886672
MMGT1,-0.4122518428,1
DNAJB6,0.1348311863,0.6276431688
