IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
LAX1,0,-0.338856423,-0.358095566,1.06356,0.07802,0.215292903,-0.20023382,1,1,1,0,1,1,1
LAYN,0.06897,0.5562281,-0.320811591,0.39303,0.0374,0.039138654,0.145547093,1,0.300461012,0.587989901,0.430912788,0.903480456,1,1
LBH,-0.50614,-0.357097724,-1.043144177,0.44799,-0.60022,-0.575665106,-0.435848599,0.38601517,0.565077969,0.074638234,0.090114391,9.12E-14,5.26E-09,0.005147724
LBR,0.50834,0.274171961,-0.073817394,-0.56896,-0.14402,-0.878591101,-0.478215123,0.090738448,0.604017479,0.903742812,0.003825231,0.113044715,1.92E-12,0.00246724
LBX1,0,0,0,0,-0.13135,-0.143820366,-0.144093974,1,1,1,0,1,1,1
LBX2,-0.29571,-1.21067048,-0.685598916,0.00247,0.19794,0.868755011,0.340003334,1,0.12413667,0.392307803,0.995108882,0.466452572,1,1
LBX2-AS1,-0.37865,-0.545739437,-0.985019203,0.67629,-0.0144,0.541853803,0.601330155,0.659457765,0.216574665,0.018609288,0.001457712,0.932661121,0.128570216,0.068614836
LCA5,0.38098,0.428141064,0.094713563,1.21355,0.72443,0.602415576,0.616893737,0.645069722,0.524174639,0.915638952,1.59E-10,1.08E-05,0.028141751,0.016570197
LCA5L,0.13505,1.201823114,0.580216181,0.6411,0.88064,-0.236707824,-0.740647145,1,1,1,0,0.044902992,1,1
LCAT,0.63276,-1.117067549,-1.279389852,0.4621,-0.28192,0.317217135,0.806105172,0.422185034,0.151565407,0.090824914,0.21135696,0.143222316,0.334262987,0.006063667
LCE1A,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCE1B,0,0,0,0,0,0.007711049,-0.711731927,1,1,1,0,1,1,1
LCE1C,0,0,0,0.18715,-0.13651,0,0,1,1,1,0,1,1,1
LCE1D,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCE1E,-0.06913,0,0,0.1516,-0.21442,-0.390948993,-0.399558107,1,1,1,0,1,1,1
LCE1F,0,0,0,0,0,0.057094553,0.019638555,1,1,1,0,1,1,1
LCE2A,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCE2B,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCE2C,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCE2D,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCE3A,0,0,0,0,-0.31719,-0.143820366,-0.144093974,1,1,1,0,1,1,1
LCE3B,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCE3C,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCE3D,-0.04191,1.232770664,1.643951927,0,1.12412,0,0.268040112,1,1,1,0,0.001636172,1,1
LCE3E,0,0.093258646,1.196740629,0,0.29574,0,0,1,1,1,0,1,1,1
LCE4A,0,0,0,0,0.07802,0,0,1,1,1,0,1,1,1
LCE5A,0,0.639082226,0,-0.1207,0,0,0,1,1,1,0,1,1,1
LCE6A,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCK,0.40957,0,0,-0.06498,0,0.583647888,1.00304534,1,1,1,0.880397525,1,1,1
LCLAT1,0.40714,0.516153901,0.056152902,-0.09655,0.11516,-0.234143899,0.182995603,0.427449919,0.405930549,0.941850436,0.628792664,0.191360956,0.037929428,0.076404515
LCMT1,0.55595,-0.695615443,-0.954089214,0.07761,0.21497,0.221788689,-1.148237087,0.162495558,1,1,0.643255138,0.04155283,0.15835916,1.22E-10
LCMT2,-0.55766,0.148289325,-0.0721205,0.03454,-0.39217,0.546951577,0.558222576,0.307215295,0.819434991,0.926608955,0.909840152,0.00597758,0.006235672,0.005007255
LCN1,0,-0.419517681,-0.433390523,0.10599,0,0,0,1,1,1,0,1,1,1
LCN12,-0.5553,-0.774432476,-1.674483076,-0.85717,-0.39818,-0.986720872,-0.573691741,1,1,1,0,0.217405113,1,1
LCN15,0,0,0,0,-0.12039,-1.099794792,-0.314296293,1,1,1,0,1,1,1
LCN2,-0.26932,-1.461031362,0.253290258,0.99817,0.94817,-0.106703882,-0.157529767,1,1,1,1.92E-16,2.08E-08,0.574876137,0.26907482
LCN6,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCN8,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCN9,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LCNL1,-0.04191,0,0,0.31899,-0.04461,0,0,1,1,1,0,1,1,1
LCOR,0.32954,0.606656428,0.459097887,1.04193,0.8973,0.786214619,0.955635461,0.57551773,0.443396503,0.605802716,0,1,5.51E-07,1.79E-18
LCORL,0.01823,0.274657304,0.09593019,0.52475,0.64224,1.506195769,1.829798228,0.985547166,0.443730888,0.815557876,0.030773634,1.35E-05,1.17E-07,2.05E-15
LCP2,0,0.358324143,0,1.02339,-0.31061,0.723537327,-0.300259117,1,1,1,0,1,1,1
LCT,0.19622,-0.362537991,0.192541644,-0.66121,-1.02041,-0.174147097,-0.264364638,1,1,1,0,1,1,1
LCTL,0.37765,0,0,-0.25547,0,0.647881876,-0.131269711,1,1,1,0,1,1,1
LDB1,-0.5908,-0.315450549,-0.243064344,-0.16581,-0.50063,-0.14580886,-0.016775408,0.149097225,0.358846203,0.445093636,0.280975272,3.56E-08,0.257627154,0.904644222
LDB2,0,0,0,0,0,-0.269530436,-0.277458707,1,1,1,0,1,1,1
LDB3,-0.21993,-0.585476758,-0.594878417,0.15043,0.79159,-0.555565523,0.271831698,1,1,1,0,1,1,1
LDHA,0.33327,0.353467385,0.728533911,-0.51782,-0.06185,-0.006349275,0.024638199,0.387980975,0.19151636,1.91E-06,0.000101535,1,0.956695243,1
LDHAL6A,0.10368,0,0,0,0,1.799421863,1.879793451,1,1,1,0,1,1,1
LDHAL6B,-0.07467,0.100263907,0,0.10599,0,3.003880229,2.934297244,1,1,1,0,1,2.03E-15,2.43E-13
LDHB,0.1636,-0.205376215,-0.327602874,-0.8748,-0.29914,-1.767687452,-1.645423288,0.634500193,0.490166736,0.265844402,5.29E-26,0.001035406,4.91E-195,3.99E-96
LDHC,0.05844,0.065378586,-0.292997938,0.43128,-0.06346,0.832469376,0.942935074,1,1,1,0,1,1,1
LDHD,-0.74987,-1.264213819,-0.819639878,-0.38466,-0.21027,-1.244038446,-0.976248654,0.316476011,0.037724455,0.124132482,0.128251296,0.428389921,1,0.065500304
LDLRAD1,0.09219,-0.090540342,-0.234360568,0.09942,-0.05289,-0.374460355,-0.586477154,1,1,1,0,1,1,1
LDLRAD2,0.05121,0,0,-0.15705,0.40722,-0.046703379,-0.223437474,1,1,1,0,1,1,1
LDLRAD3,-0.0299,0.531484776,0.453208732,0.06593,0.34551,-0.660829848,-0.526141376,0.967561042,0.471495251,0.577245985,0.724553503,0.000206273,0.006457373,0.02214733
LDLRAD4,-0.04694,0.012809827,-0.425073272,0.08054,0.59661,3.584569898,3.811563875,1,0.98721469,1,0,0.001727207,1,2.21E-30
LDLRAP1,-0.03753,-0.74115393,-0.905485237,-0.41005,-0.93264,-0.703624836,-0.942871744,0.970004653,0.070572511,0.007636448,0.030594878,2.19E-21,0.002496442,4.10E-05
LDOC1,0.06324,-0.744013768,-0.795638856,-0.06065,-0.71206,-1.232176159,-1.223657288,0.929850534,0.254729816,0.218197773,0,2.30E-07,8.63E-12,5.75E-12
LDOC1L,-0.54077,0.230625953,0.19073543,0.00011,-0.28136,0.090882326,0.229428505,0.310357288,0.730106898,0.795283133,0.999467222,0.000339694,0.410799355,0.023397113
LEAP2,0.37547,-0.628440841,-0.865371409,0.11802,-0.3456,1.608492363,1.311568926,1,0.324014256,1,0,0.274252932,1,1
LECT1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LECT2,-0.06913,0.100263907,0,0,-0.21442,0.044435859,0.106150649,1,1,1,0,1,1,1
LEF1,0,0,0,-0.34493,0,0.366236635,0.268040112,1,1,1,0,1,1,1
LEF1-AS1,0,0,0,-0.1207,0.21695,-0.162468055,0.083557025,1,1,1,0,1,1,1
LEFTY1,0.19151,-0.37614667,-0.177152508,-0.36375,-0.51046,-0.165723741,-0.876484088,1,1,1,0,1,1,1
LEFTY2,0,-0.267559726,-0.292997938,0,-0.16114,-0.143820366,0.147194828,1,1,1,0,1,1,1
LEKR1,0.08132,0.482647701,0.519395956,0.94313,-0.33923,1.670383639,1.675238673,1,1,1,0.003224985,0.425134342,1,1
LELP1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LEMD1,0,0,0.193000226,0.60817,-0.13135,0,0,1,1,1,0.00033679,1,1,1
LEMD1-AS1,0.12943,-0.338856423,-0.358095566,0.1079,0.07802,0,0,1,1,1,0,1,1,1
LEMD2,-0.69993,-0.541946821,-0.239764943,-0.39062,-0.31837,0.380422412,0.24517505,0.129346044,0.258274012,0.603830692,0.001727492,0.000344301,0.000854442,0.015780814
LEMD3,-0.06914,0.315415041,0.338311957,0.09759,-0.15331,1.050958397,1.128026312,0.910427885,0.670755063,0.67838077,0,0.208348209,7.40E-21,4.92E-21
LENEP,0,0,0.141371609,-0.23734,-0.62209,0.364595629,0.528488826,1,1,1,0,1,1,1
LENG1,-0.37825,-0.7101028,-0.558684398,-0.29974,-0.68166,0.55528801,0.219020801,0.636338171,1,1,0.233927242,5.00E-06,0.082600456,0.535247487
LENG8,-0.16331,-0.334484706,0.00217413,0.20119,-0.31484,0.69573203,0.692038005,0.731967524,0.156604192,0.993653922,0.222706873,1,4.90E-12,2.54E-12
LENG9,-1.20313,-1.085635824,-0.983453003,0.36998,0.47293,-0.320017492,-0.549948755,0.067383648,0.093670965,0.088754181,0.160818582,0.000118149,0.338050633,0.094105655
LEO1,0.41844,0.795076894,0.294773212,0.16458,-0.10148,0.202961351,0.310096344,1,0.025769942,0.321435123,0.270123084,0.528307685,0.106166348,0.022541354
LEP,0,0,0.141371609,0,0.23194,0,0.297469732,1,1,1,0,1,1,1
LEPR,0.59353,0.411085263,0.790693524,0.32444,0.61432,-0.271440546,-0.342181267,0.282486964,0.46337049,0.117986331,0.181239795,0.000342176,0.244377687,0.128842686
LEPRE1,0.40545,-0.332440979,0.021421523,-0.32332,-0.37507,-0.846762044,-0.732815134,0.322135064,0.557341669,0.976094941,0.049715363,7.75E-05,2.84E-12,7.23E-09
LEPREL1,0.0437,0.663100688,1.032881246,0.99335,0.71429,-0.475843828,-0.629226907,0.942604031,0.145543291,0.006586934,3.27E-08,1.02E-09,0.001194558,1.88E-05
LEPREL2,-0.43082,-1.363685711,-1.283043002,-0.34297,-0.61461,-1.260258992,-1.36753718,1,1,1,0.348951045,2.04E-10,2.27E-09,5.34E-15
LEPREL4,-0.43606,-0.947925503,-1.067273677,-0.51433,-0.53253,-0.969757045,-0.883121834,0.475739511,0.086078081,0.036272425,0.004096836,4.61E-16,4.02E-09,1.11E-17
LEPROT,-0.01533,0.416112047,0.420906625,0.26547,0.40473,-0.654672991,-0.654191914,0.979045852,0.482176615,0.499503454,0.110571077,2.22E-05,1.28E-10,1.57E-10
LEPROTL1,0.63584,0.174530346,-0.028850075,0.05833,-0.00502,-0.729318243,-0.829564312,0.283606356,0.659268285,0.939418835,0.660221161,0.96396287,3.00E-10,3.07E-12
LETM1,-0.08739,-0.751666808,-0.64193697,-0.49469,-0.87932,-1.049595543,-0.748857457,0.912488674,0.10115023,0.13486961,0.000106135,1.34E-22,2.63E-16,3.82E-10
LETM2,0.61847,1.36435001,1.785002183,0.37892,0.83895,0.999710155,0.848804151,0.34129179,5.93E-05,8.68E-10,0.001690623,0.000143596,3.86E-05,0.008003048
LETMD1,-0.1977,-0.070848294,-0.418980974,0.56578,0.98615,0.084954472,0.261839191,0.706656527,0.79865954,0.070289824,0.000142996,2.07E-13,0.623460956,0.073076222
LEUTX,0,-0.207015152,-0.234360568,0,0,0,0.268040112,1,1,1,0,1,1,1
LFNG,-0.80393,-1.195977954,-1.059919065,-0.41532,-0.29036,-0.689339287,0.117799823,1,0.031898597,0.011239282,0.012618066,0.061797331,0.082153396,0.731966001
LGALS1,0.35787,-1.226815201,-0.967784281,-0.61815,0.01164,-1.33722993,-1.305500635,0.26882445,1,1,6.01E-05,0.935177952,3.18E-41,5.15E-56
LGALS12,0,0.147040462,0,-0.01345,0,0,0,1,1,1,0,1,1,1
LGALS13,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LGALS14,0,0.277266194,0,0,0,0,0,1,1,1,0,1,1,1
LGALS16,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LGALS2,0.00902,-1.529955245,-1.814009744,-0.59448,-1.61067,-0.681636913,0.229223393,1,1,1,0.221378915,1,1,1
LGALS3,0.06742,-0.225825701,-0.113831893,-0.66891,0.37502,-0.620541881,-0.894930749,0.907388161,0.664416287,0.845121189,1.52E-10,9.08E-05,0.000119558,4.71E-11
LGALS3BP,-0.22873,0.515730083,0.401971979,0.2605,-0.1154,0.361561501,-1.64591586,1,0.452695997,1,0.059146091,0.047036191,1,5.69E-39
LGALS7,-0.04191,-0.338856423,-0.239784021,-0.23152,-0.20911,-0.269530436,-0.277458707,1,1,1,0,1,1,1
LGALS7B,0,-0.207015152,-0.234360568,-0.77988,-0.13135,-0.143820366,-0.144093974,1,1,1,0,1,1,1
LGALS8,0.36363,0.798734719,1.37701222,0.22642,0.36816,0.911753626,0.702648799,0.449156872,0.117668149,0.000472071,0.057143106,0.000185083,5.00E-22,1.41E-06
LGALS8-AS1,-0.06632,-0.503868925,0.236821944,0.65911,-0.1712,0.242812742,0.471724956,1,1,1,0,0.692406232,1,1
LGALS9B,-0.06913,-0.267559726,-0.292997938,0.58388,0,0.207347835,0.117644383,1,1,1,0,1,1,1
LGALS9C,0,0,0,1.41023,0.11831,-0.244963604,-0.634881107,1,1,1,0.001451855,1,1,1
LGALSL,0.57653,0.510448526,0.33166633,0.35236,0.54197,1.492909662,1.721114897,0.274305428,0.163542521,0.377127286,0.015476305,1.12E-07,1.88E-15,2.01E-23
LGI1,0,-0.338856423,-0.358095566,0,0,0,0,1,1,1,0,1,1,1
LGI2,0.04875,0.844298549,0.955496133,-1.22699,0.46136,-0.349928265,-0.822574886,1,1,1,0.002070012,1,1,1
LGI3,0.29268,-1.290356864,-1.968283857,0.18471,-0.2039,-0.252179874,-0.094704651,0.753624194,0.006747587,1.81E-05,0,0.411550752,1,1
LGI4,0,-0.649451962,0.112596633,0.23461,-0.0872,-0.029379033,-0.174535362,1,1,1,0,1,1,1
LGMN,0.37234,0.575885605,0.849256356,0.37361,0.06938,-0.035453728,-0.947005831,0.301605633,0.016971213,3.00E-07,6.32E-05,0.514026862,0.847888465,1.84E-13
LGR4,0.12058,0.413399286,-0.01960591,-0.54568,-0.45384,-0.906668906,-1.265215848,0.824277247,0.609057459,0.984485594,0,7.62E-06,1.36E-10,1.90E-94
LGR5,0.05121,0,0,-0.52066,0,1.641770097,1.876093799,1,1,1,0,1,1,1
LGR6,-0.36662,-0.870230707,-1.895067959,1.86677,0.05068,-1.025075985,-0.475038938,1,0.012777102,0.000164572,0,0.865991045,0.056376253,0.284378798
LGSN,-0.05594,0.103059239,-0.111106935,0,0.51232,0.170575241,-0.030129606,0.939579616,0.877349031,0.878286331,0,0.002469122,0.230122879,0.845599896
LHCGR,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LHFP,-0.00723,0.930873161,1.866769853,1.23762,0.8526,-0.22736176,-0.280083406,0.993523652,0.087314666,6.93E-07,0,6.30E-06,0.539358617,0.559240171
LHFPL1,0,0.109151806,0,0,-0.12712,-0.143820366,-0.144093974,1,1,1,0,1,1,1
LHFPL2,-0.08834,0.460960156,1.066044455,0.45931,0.45954,0.195824703,0.160322531,0.858448179,0.298478092,0.003708924,1.54E-05,1.37E-07,0.002861004,0.051854949
LHFPL3,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LHFPL3-AS1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LHFPL3-AS2,0.12364,-0.207015152,-0.234360568,-0.56368,0,1.139268282,0.258906832,1,1,1,0,1,1,1
LHFPL4,-0.3309,0.151087321,0.030997287,0,-0.00657,1.266287346,0.9391082,1,1,1,0,0.987100163,1,1
LHFPL5,-0.12761,-0.243195575,-0.391683054,-0.02158,-0.29521,-0.610242214,-0.321298946,1,1,1,0,1,1,1
LHPP,-0.24145,-1.259437528,-1.887981836,-0.77996,-0.44605,-1.694815389,-1.748265982,0.756282716,0.062212613,0.001773117,0.000106166,9.76E-05,3.56E-10,2.72E-13
LHX1,0.33683,0.233855218,0.217776588,-0.46033,-0.03779,0.475627351,0.303358658,0.682668441,0.568773894,0.679492499,0,0.849349122,1,1
LHX2,-0.0484,-0.368875667,-0.607857833,-0.50023,-1.4378,0.746226216,0.808271578,0.957956247,0.407362937,0.170252834,0,4.87E-14,0.034516364,0.049255728
LHX3,0.12053,-0.267559726,-0.292997938,0,0.01968,1.875130606,1.638000409,1,1,1,0,1,1.98E-05,0.000186994
LHX4,-0.10671,-0.934956924,-1.336609597,0.2847,-0.76896,0.176883185,0.083811174,0.917986886,0.081406547,0.00341578,0,0.011015124,0.680098382,0.845637806
LHX5,0,0.109151806,0,-0.20648,0,0,0,1,1,1,0,1,1,1
LHX6,-0.11315,0.371466248,-0.707823925,-0.73062,0.37729,0.127720826,0.40997428,1,1,1,0,1,1,1
LHX8,-0.31872,0.259045061,-0.563582831,0,0.089,-0.252619102,-0.034494717,1,0.688972146,0.445758123,0,0.628603915,0.52725323,0.919011867
LHX9,-0.03279,0.754386936,0.580223177,0.01873,-0.00805,0.492542734,0.078756715,1,1,1,0,1,1,1
LIAS,-0.00331,-0.158764395,-0.520328373,0.35084,0.75746,-0.923166026,-0.724122299,0.996324321,0.75408009,0.283179407,0.187129382,1.53E-08,0.000188942,0.00127091
LIF,-0.92678,0.26151737,0.983148384,1.81288,0.80015,2.787448808,2.811953302,0.04622169,0.439422621,1.26E-10,8.71E-49,1.43E-43,3.60E-161,7.88E-175
LIG1,-0.0806,-0.929945269,-1.509676411,-1.17262,-1.5092,-0.925504031,-0.744283768,0.882908797,0.001348123,4.69E-10,1.75E-23,1.39E-163,1.90E-09,1.07E-06
LIG3,0.05575,0.244929972,-0.184658929,-0.04074,-0.30666,-0.767323081,-0.531657593,0.91494472,0.537879874,0.657589263,0.830918072,0.002568529,0.0002235,0.001259398
LIG4,0.52843,0.722796649,0.858649029,1.16545,0.57971,1.233491948,1.374533954,0.334189852,0.376042544,0.32349521,0.000112572,0.000787355,6.83E-09,3.42E-12
LILRA1,0,0,0,0,0,-0.143820366,-0.144093974,1,1,1,0,1,1,1
LILRA2,0,0.109151806,0,0,0,-0.162468055,0.121772462,1,1,1,0,1,1,1
LILRA3,0,0,0.149593464,-0.06065,0,0.36509643,0.562495841,1,1,1,0,1,1,1
LILRA4,0,0,0,0,0,-0.162468055,-0.163769368,1,1,1,0,1,1,1
LILRA5,0,0,0,0,0.11831,-0.363275084,-0.196745697,1,1,1,0,1,1,1
LILRA6,-0.08278,0.093258646,0.141371609,0,0,1.953632396,2.661743504,1,1,1,0,1,9.85E-05,2.12E-10
LILRB1,0,0,0,0,0,0.821630952,0.824067752,1,1,1,0,1,1,1
LILRB2,0,0,0,0,0,0.212703399,0.105171193,1,1,1,0,1,1,1
LILRB3,-0.04191,0.093258646,0,0.10599,0,0.994538461,1.306264069,1,1,1,0,1,1,1
LILRB4,0,0,0,0.21799,0.21695,0.585240677,0.238950877,1,1,1,0,1,1,1
LILRB5,0.05121,0,0,0.26962,0,0.366236635,0.258906832,1,1,1,0,1,1,1
LILRP2,0,0,0,0,-0.13135,0,0,1,1,1,0,1,1,1
LIM2,0.05121,0,0,0,0,1.034219946,0.268040112,1,1,1,0,1,1,1
LIMA1,0.39925,0.140203425,1.231318468,0.15764,0.64537,-0.106897129,0.120047295,0.491464544,0.858780531,0.090863365,0.411471362,1.95E-05,0.504414404,0.455101941
LIMCH1,0.0277,0.661975815,0.55858619,0.69182,1.00279,-0.199502242,-0.198593245,0.972560796,0.266969826,0.327879587,2.82E-06,3.48E-20,0.022028208,0.024879482
LIMD1,-0.61858,-0.303884926,-0.366951602,0.47188,-0.21775,0.010833294,-0.29630258,0.174423562,0.246709479,0.091473426,1.49E-05,0.023565739,0.93306791,0.018260375
LIMD1-AS1,-0.07966,-0.57900211,-1.001102272,-0.28281,-0.68387,0,0,1,1,1,0,1,1,1
LIMD2,-0.7529,-1.150516646,-1.010824599,-0.09754,-0.06225,-0.102185956,-0.922009513,1,1,1,0.780753545,0.703181325,0.808996768,0.026435711
LIME1,-0.78298,-1.836545594,-1.579749224,-0.51748,-0.66863,0.589157858,0.292561419,1,1,1,0.02772157,5.25E-05,0.131814,0.460118385
LIMK1,-0.0476,-0.367005474,0.314877121,-0.21242,-0.2463,-0.733546719,-0.566832943,0.925323161,0.276130204,0.212974942,0.129185144,0.000904565,3.24E-10,4.00E-05
LIMK2,0.19089,-0.135027574,0.11981088,-0.25956,-0.62737,0.349644949,0.262794663,0.799799009,0.633707788,0.702640096,0.040285241,4.19E-07,0.091568198,0.191244003
LIMS1,0.66201,0.52274271,0.748449128,0.49553,0.48238,-0.329345723,-0.422823667,0.133027673,0.363304463,0.170878676,0.005329004,0.001213255,0.029085883,2.57E-05
LIMS2,-0.47842,-1.455192797,-1.035030329,0.91658,0.83277,-0.250641394,0.352691219,1,1,1,0,4.99E-05,1,0.419555783
LIMS3,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LIMS3-LOC440895,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LIMS3L,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LIN28A,0,0,0,0,0.06592,1.20727358,0.418112277,1,1,1,0,1,1,1
LIN28B,0.14109,0.692713972,-0.102908624,0.1079,-0.14314,1.079624769,1.219490574,0.864099596,0.317562783,0.904483587,0,0.505768119,4.91E-18,3.99E-21
LIN37,-0.05145,-0.959259628,-0.598451996,-0.00714,-0.24287,1.562216057,1.81133568,0.946346155,1,1,0.979873631,0.177968314,5.82E-19,7.20E-42
LIN52,0.21943,0.762755726,0.377222825,-0.54295,-0.13223,1.264577874,0.817054696,0.782564311,0.227060335,0.572801995,0.098125585,0.355415149,2.95E-05,0.003758465
LIN54,0.66554,0.383758093,0.245552805,-0.01022,0.13935,-0.093533413,0.072894678,0.227126889,0.536788639,0.717173134,0.971166373,0.224604677,0.718267261,0.798152773
LIN7A,0.09197,-1.306677548,-1.729076196,-0.27569,-0.63398,-0.470628392,-0.43589138,0.927919706,0.031844647,0.00136467,0,0.050562949,0.232813151,0.279827775
LIN7B,-0.0092,-1.065858557,-0.36738779,0.04764,0.02984,0.322961659,-0.131869397,0.991897238,1,1,0.88290312,0.91982218,0.46806047,1
LIN7C,0.78875,0.716931377,0.554071066,0.12147,0.2654,1.046120585,1.111432754,0.032418996,0.184895563,0.299895165,0.645309234,0.113914924,2.60E-13,1.66E-16
LIN9,0.41118,0.642451249,-0.031452288,-0.05338,-0.2601,1.05773488,1.042017075,0.482085721,0.40692821,0.975737202,0.871671589,0.014681479,2.81E-05,0.000222928
LINC-ROR,0,0,0,1.36024,0,-0.229847565,-0.233252669,1,1,1,0,1,1,1
LINC00028,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LINC00029,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LINC00032,0,0.109151806,0,-0.01672,0,0,0,1,1,1,0,1,1,1
LINC00035,-0.15234,-1.235107834,-0.572726998,0.23712,-0.05882,-0.104918414,-1.045440332,1,1,0.52349069,0.49979409,0.906601962,1,1
LINC00051,0,-0.338856423,-0.22603634,0,-0.01466,0,0.258906832,1,1,1,0,1,1,1
LINC00052,0,0,0,0.10599,0,0,0,1,1,1,0,1,1,1
LINC00085,-0.61133,-1.500478313,-1.210321545,-1.03882,-1.6438,1.888453875,1.882611864,0.341950318,0.015686897,0.044797032,0.001237096,1,1.04E-35,5.05E-30
LINC00086,-0.67542,-0.799406189,-0.719907523,0.29365,0.88198,-0.13681294,-0.625942404,1,1,1,0.412233335,0.000210547,1,1
LINC00087,0,-0.683363345,0.252344399,-0.7499,-0.13327,-0.01498347,-0.278401509,1,1,1,0.009534244,1,1,1
LINC00092,0,0,0,0,-0.05289,0.819878019,0.982412052,1,1,1,0,1,1,1
LINC00094,-0.32401,-0.355602833,-0.706403964,-0.77012,-0.25992,-0.68456128,-0.496579258,0.512283643,0.128000194,0.000257762,1.09E-06,0.05533296,0.008804377,0.014281598
LINC00102,0,0,0,0,0,0.366236635,0,1,1,1,0,1,1,1
LINC00111,0,-0.207015152,-0.234360568,-0.06065,-0.12712,0,0,1,1,1,0,1,1,1
LINC00112,0.16165,0,0,-0.20648,-0.13651,-0.07417985,0.009681512,1,1,1,0,1,1,1
LINC00113,0,0,0,0.07468,0,0,0,1,1,1,0,1,1,1
LINC00114,0,0,0,1.19904,0,0,0,1,1,1,0,1,1,1
LINC00116,-0.10411,-1.442615793,-1.641485583,-0.70694,-0.96628,-0.030802071,-0.246105098,0.905138207,1,1,0.000568534,2.28E-08,0.92519192,0.24487067
LINC00152,0.61044,-0.856384711,-0.423164025,-0.15484,0.51394,-1.162731026,-1.146821191,0.124270539,1,1,0.476334807,1.38E-06,1.91E-07,1.63E-08
LINC00158,0,0,0,0.85431,0,-0.162468055,0.121772462,1,1,1,0,1,1,1
LINC00159,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LINC00160,0,0,0.149593464,0,0,-0.162468055,0.092224953,1,1,1,0,1,1,1
LINC00161,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LINC00162,0,0,1.401762321,0.00568,0,0,0.268040112,1,1,1,0,1,1,1
LINC00163,0,0,0,0,0,0,0.297469732,1,1,1,0,1,1,1
LINC00167,-0.03019,-1.009127433,-0.93377748,-0.63467,-0.48477,0.819878019,0.258906832,1,1,1,0,1,1,1
LINC00173,0.57732,-0.594171392,-1.608760539,0.27165,-0.38052,-1.08020938,-0.568870682,1,0.336532514,1,0,0.218171784,1,1
LINC00174,-0.13948,-0.728417384,-0.45958764,0.76601,0.69954,0.116850361,0.686300685,0.889758279,0.222540802,0.436827133,0.036828903,7.14E-05,0.81800698,0.096780465
LINC00176,-0.65022,-1.136113952,-1.740048401,-0.38025,-1.11201,0.29733519,0.362747596,1,0.160646112,0.010602163,0.399957025,0.000126316,1,1
LINC00184,0,-0.090540342,0.236069934,-0.25821,0.16502,-0.143820366,0.618324404,1,1,1,0,1,1,1
LINC00189,0,0,0,0.84438,0,-0.162468055,-0.163769368,1,1,1,0,1,1,1
LINC00200,0.12364,0,0,0,0,0,0,1,1,1,0,1,1,1
LINC00202-1,0.08498,-1.119240957,-0.936224637,-0.2128,-0.20477,0.687121995,0.064779559,1,1,1,0,0.589042751,1,1
LINC00202-2,0,0,0,0,0,1.034073108,0.612201161,1,1,1,0,1,1,1
LINC00207,0,0,0,0,0,0.366236635,0,1,1,1,0,1,1,1
LINC00208,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LINC00210,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LINC00221,0,0,0,0,0,-0.269530436,-0.277458707,1,1,1,0,1,1,1
LINC00222,0,0,0.193000226,1.18137,0,0.201599317,-0.144093974,1,1,1,0,1,1,1
LINC00226,0,0,0,0,0,0,0,1,1,1,0,1,1,1
LINC00229,0,0,0,0.1079,0,0,0,1,1,1,0,1,1,1
