log2FoldChange,padj
STK16,-3.0612805994,0.0226702704
TUBA4A,-4.0625454605,0.0005465263
TUBA4B,-1.2175918332,NaN
DNAJB2,-2.5737509538,NaN
PTPRN,-0.2325565026,NaN
MIR153-1,NaN,NaN
RESP18,NaN,NaN
DNPEP,-1.8005441547,NaN
DES,-1.5393542607,0.3032872792
SPEG,-0.1839736092,0.9245592612
GMPPA,-3.6019842643,0.0050452466
ASIC4,-0.0777814876,NaN
CHPF,-1.572789174,0.2117449966
TMEM198,-0.7101283357,NaN
MIR3132,NaN,NaN
OBSL1,-0.947121158,0.5423709296
INHA,-0.0984150889,NaN
STK11IP,-2.6846820974,0.0500391846
SLC4A3,-0.7716690358,NaN
MIR4268,NaN,NaN
EPHA4,-2.898513016,0.033461005
PAX3,4.1016805253,NaN
CCDC140,4.2540147767,0.001615273
SGPP2,2.2040922547,0.0927781147
FARSB,0.6768231238,0.4852735596
MOGAT1,-0.0232011249,NaN
ACSL3,-0.3509807315,0.7925579534
KCNE4,-2.221147259,0.0603501121
SCG2,-1.1403905755,NaN
AP1S3,-0.3170550972,NaN
WDFY1,0.3399306819,0.8114635765
MRPL44,-1.4615084757,0.2376148783
SERPINE2,2.0683295521,0.0556559346
FAM124B,-1.0548528067,NaN
CUL3,-0.1051556343,0.9339367165
DOCK10,-1.542357729,0.2598639422
MIR4439,NaN,NaN
NYAP2,-0.1490566753,NaN
LOC646736,-0.0127306013,NaN
MIR5702,NaN,NaN
IRS1,-0.2448164404,0.877332943
RHBDD1,1.4758800995,0.1163429932
COL4A4,0.9547045594,0.4720708866
COL4A3,-2.2635820552,0.1052506352
MFF,0.2755127529,0.8709045804
TM4SF20,3.1897936917,NaN
MIR5703,NaN,NaN
AGFG1,0.8749101865,0.3135228829
C2orf83,-0.2069664235,NaN
SLC19A3,1.5968121444,0.2532968502
CCL20,0.7819503594,0.6323034645
DAW1,-1.063370806,NaN
SPHKAP,-0.0127306013,NaN
PID1,-0.4012931113,0.7785335899
DNER,-1.1845493623,NaN
TRIP12,-0.097354059,0.9563432116
FBXO36,-1.284951988,NaN
SLC16A14,-1.3163396977,NaN
SP110,3.4369970818,2.47E-05
SP140,5.3351539962,3.77E-14
SP140L,2.7325434684,0.0025029502
SP100,1.0888950898,0.2901252983
LOC151475,-0.2069664235,NaN
CAB39,-0.9420631887,0.3638069561
ITM2C,-2.2066107085,0.092898791
LOC151484,NaN,NaN
GPR55,-0.6098962571,NaN
LOC348761,-0.2883572604,NaN
SPATA3,-0.0635296015,NaN
C2orf72,-1.2385701708,NaN
PSMD1,-1.0983140388,0.3815951111
HTR2B,-0.8855551464,NaN
ARMC9,-2.1886168036,NaN
MIR4777,NaN,NaN
B3GNT7,-0.229654075,0.8808808465
NCL,-0.7713112976,0.4955192448
SNORA75,-0.9769555702,NaN
SNORD20,-0.7431465019,NaN
SNORD82,-0.0247642211,NaN
LINC00471,-0.1932693616,NaN
NMUR1,-1.3633382384,NaN
C2orf57,-0.0871423128,NaN
PTMA,-0.4778854041,0.600064145
PDE6D,0.7669020147,0.5923045864
COPS7B,-1.1052377841,0.3721581955
MIR1471,NaN,NaN
NPPC,-0.0472189909,NaN
DIS3L2,-2.1079794992,0.1121954736
ALPP,-0.2878541359,NaN
ECEL1P2,-0.8782933535,NaN
ALPPL2,-0.1655708024,NaN
ALPI,NaN,NaN
ECEL1,-0.7451784461,NaN
PRSS56,NaN,NaN
CHRND,-0.0127306013,NaN
CHRNG,-0.090371638,NaN
TIGD1,0.0066298131,NaN
MIR5001,NaN,NaN
EIF4E2,-3.9197215998,0.0015842469
EFHD1,0.2852683242,0.8793480704
GIGYF2,-0.8696137577,0.4890400527
KCNJ13,-0.1762590743,NaN
C2orf82,-0.2010545966,NaN
NGEF,-0.4998660699,NaN
NEU2,NaN,NaN
INPP5D,0.1842716957,0.9085722491
ATG16L1,-2.7720735428,0.0190139428
SCARNA5,-0.5981918908,NaN
SCARNA6,-0.5240325182,NaN
SAG,NaN,NaN
DGKD,-2.4963249528,NaN
USP40,-2.9714968429,0.0104903638
UGT1A8,NaN,NaN
UGT1A10,-0.0441911372,NaN
UGT1A9,NaN,NaN
UGT1A7,NaN,NaN
UGT1A6,-0.0577779504,NaN
UGT1A5,NaN,NaN
UGT1A4,NaN,NaN
UGT1A3,-0.0127306013,NaN
DNAJB3,NaN,NaN
LOC100286922,NaN,NaN
UGT1A1,-0.0127306013,NaN
HJURP,-0.4661171478,NaN
MSL3P1,-0.5136419302,NaN
TRPM8,2.5119509306,0.069747766
SPP2,NaN,NaN
ARL4C,-0.0570693896,0.9731576358
SH3BP4,-0.6926404753,0.5514760537
AGAP1,-1.5873573364,0.2121591129
GBX2,-0.0472189909,NaN
ASB18,NaN,NaN
IQCA1,1.902942249,0.1289830696
CXCR7,-1.1932490669,0.3602866136
COPS8,-0.2205718124,0.8907667962
COL6A3,0.6712636407,0.5125217133
MLPH,-0.5032469794,0.7369856549
PRLH,NaN,NaN
RAB17,-1.7884161551,0.1907764519
LRRFIP1,-2.4553867581,NaN
RBM44,-0.9334169426,NaN
RAMP1,-1.7641533167,0.2015685691
UBE2F,1.3044342108,0.3462370835
UBE2F-SCLY,NaN,NaN
SCLY,-0.2049691649,NaN
ESPNL,-0.0441911372,NaN
KLHL30,-0.5670041845,NaN
ILKAP,-2.4287290949,0.0265934752
LOC151174,-0.6416179062,NaN
LOC643387,0.6035950022,NaN
HES6,0.0249932733,NaN
PER2,-2.0362775326,0.0857437181
TRAF3IP1,0.1920194574,0.9141324537
ASB1,-3.9541229138,0.0013989663
LOC151171,-0.1209089974,NaN
TWIST2,1.880981191,0.0646976928
FLJ43879,-0.0127306013,NaN
HDAC4,-0.6994067602,0.5548822238
MIR4440,-0.0127306013,NaN
MIR4441,NaN,NaN
MGC16025,-0.1437465976,NaN
MIR4269,-0.0127306013,NaN
MIR2467,-0.0247642211,NaN
LOC150935,-0.0362339798,NaN
MIR4786,NaN,NaN
NDUFA10,-0.6306194348,0.5278480985
OR6B2,NaN,NaN
PRR21,NaN,NaN
OR6B3,-0.1045876358,NaN
MYEOV2,0.3334744734,0.7593449102
OTOS,-0.0815314786,NaN
GPC1,-0.2922632331,0.8578063703
PP14571,-0.1658717118,NaN
MIR149,NaN,NaN
ANKMY1,-1.9777904518,NaN
DUSP28,-1.7576162395,NaN
RNPEPL1,-1.0029449423,0.4641728833
CAPN10,-2.4215585713,0.0785369048
GPR35,0.0682975181,NaN
AQP12B,NaN,NaN
AQP12A,NaN,NaN
KIF1A,-0.3301024426,NaN
AGXT,-0.3450707622,NaN
C2orf54,-2.2737938847,NaN
LOC200772,-0.0127306013,NaN
SNED1,-2.9557601445,0.031163852
MTERFD2,-1.1520970244,0.3156863559
PASK,-2.595102915,0.0577488498
PPP1R7,-0.642125374,0.5777369068
ANO7,-0.8659206752,NaN
HDLBP,-1.5181488499,0.0500012934
SEPT2,-0.3137944687,0.7439991165
FARP2,-0.6567020608,0.6492543259
STK25,-2.0410745445,0.0574587804
BOK-AS1,NaN,NaN
BOK,-0.4189305015,0.7842345848
THAP4,-1.3138654659,0.2457112738
ATG4B,-4.4824478887,0.0001126432
DTYMK,-1.3581459977,0.3097022163
ING5,-3.1880118288,0.0167182133
D2HGDH,-2.1836064779,NaN
GAL3ST2,-0.0577779504,NaN
NEU4,-1.1721967655,NaN
PDCD1,-0.9742408163,NaN
CXXC11,NaN,NaN
LOC728323,-0.4691543922,NaN
DEFB125,NaN,NaN
DEFB126,NaN,NaN
DEFB127,NaN,NaN
DEFB128,NaN,NaN
DEFB129,NaN,NaN
DEFB132,NaN,NaN
C20orf96,1.9725880417,0.0942819325
ZCCHC3,-1.4942494948,0.1902153846
SOX12,-1.3608102752,NaN
NRSN2,-0.4436850427,0.7731862241
TRIB3,-2.4657918124,0.067061566
RBCK1,0.7061715489,0.4073152961
TBC1D20,-1.4726820706,0.1697014269
CSNK2A1,0.5739808133,0.608184528
TCF15,-1.665741768,NaN
SRXN1,0.595960138,0.6324513774
SCRT2,NaN,NaN
SLC52A3,-1.2953226246,NaN
FAM110A,0.3559191383,0.8207063347
ANGPT4,-0.3889814342,NaN
RSPO4,0.5258296795,0.7591303226
PSMF1,0.8357317809,0.3245635778
TMEM74B,-2.4666517204,0.0762455165
C20orf202,-1.0318967613,NaN
RAD21L1,-0.0247642211,NaN
SNPH,-1.3170775036,NaN
SDCBP2,-0.2929601715,NaN
FKBP1A-SDCBP2,NaN,NaN
SDCBP2-AS1,-1.5938522627,NaN
FKBP1A,2.0781901179,0.0050443212
NSFL1C,-0.0408317877,0.9734299786
SIRPB2,-1.586701477,NaN
SIRPD,-0.1999605323,NaN
SIRPB1,4.0786259828,2.91E-05
SIRPG,-0.4476044757,NaN
LOC100289473,-0.0635296015,NaN
SIRPA,1.5156724982,0.0533562912
PDYN,NaN,NaN
STK35,-0.4640779551,0.7106755554
TGM3,-0.8242692913,NaN
TGM6,NaN,NaN
SNRPB,-0.6664918765,0.4478561054
SNORD119,-0.4144139289,NaN
ZNF343,-2.9370865187,0.0297970379
TMC2,-0.6077649188,NaN
NOP56,-2.9614713051,NaN
MIR1292,-0.0472189909,NaN
SNORD110,-0.4444245106,NaN
SNORA51,-0.1364887046,NaN
SNORD86,NaN,NaN
SNORD56,-0.5001866329,NaN
SNORD57,-0.5085938839,NaN
IDH3B,-0.2416914403,0.8851118943
EBF4,-2.1251606717,NaN
CPXM1,-0.3275220873,NaN
C20orf141,-0.1154693445,NaN
TMEM239,NaN,NaN
PCED1A,-1.8539870768,0.1284263049
VPS16,-2.6050848447,0.0321249761
PTPRA,-0.2715194564,0.8669817094
GNRH2,-0.0127306013,NaN
MRPS26,-1.7204063977,0.1086732348
OXT,-0.151452841,NaN
AVP,NaN,NaN
UBOX5-AS1,-0.2457309495,NaN
UBOX5,-2.2512587654,NaN
FASTKD5,-1.67824136,0.177703167
PROSAPIP1,-2.4605901744,0.072709078
DDRGK1,0.1619260729,0.8950857708
ITPA,-3.746356007,0.0032440153
SLC4A11,0.4563667786,NaN
C20orf194,-2.4570849425,0.0435130852
ATRN,-1.4638350418,0.219112969
GFRA4,NaN,NaN
ADAM33,0.0730982215,0.9735898247
SIGLEC1,1.7712696828,0.1390795142
HSPA12B,-2.943937762,0.0328848971
C20orf27,-2.6689575268,0.0536696268
SPEF1,-0.6710683705,NaN
CENPB,-1.4314350535,0.2390314018
CDC25B,-1.6332563373,0.173913539
AP5S1,-1.839513748,NaN
MAVS,-1.1346249999,0.3360973254
PANK2,0.6509949805,0.5521588628
MIR103A2,-0.0127306013,NaN
MIR103B2,NaN,NaN
RNF24,1.3281113018,0.3562017695
SMOX,-1.1301957039,0.3414183135
LOC728228,-0.1329716108,NaN
ADRA1D,-1.4349321217,NaN
PRNP,-0.1829455558,0.8759790639
PRND,-0.3704458953,NaN
PRNT,NaN,NaN
RASSF2,-0.8942549495,0.4607689902
SLC23A2,-1.0522868902,0.3631795706
TMEM230,0.5113154724,0.6938276884
PCNA,0.6096494245,0.6279716126
PCNA-AS1,NaN,NaN
CDS2,-0.0269082041,0.9890854102
PROKR2,-0.0472189909,NaN
LINC00658,-0.0127306013,NaN
LOC643406,-0.106267323,NaN
LINC00654,1.7102547495,NaN
GPCPD1,-0.6238768527,0.5454713819
C20orf196,-1.2902065452,NaN
CHGB,-0.1838875825,NaN
TRMT6,-0.0656181908,0.9691070716
MCM8,1.2804469222,0.4076510466
CRLS1,-0.2856689268,0.8197827544
LRRN4,-1.1395738187,NaN
FERMT1,-1.3724618197,NaN
BMP2,1.4459712322,0.1731268453
HAO1,NaN,NaN
TMX4,0.7422757032,0.5784954058
PLCB1,-2.2037935092,0.1175566047
PLCB4,-1.3465973285,0.373966869
LAMP5,-0.5704733003,NaN
PAK7,NaN,NaN
SNAP25-AS1,-0.0441911372,NaN
ANKEF1,-1.1830766885,NaN
SNAP25,-1.336760151,NaN
MKKS,0.3067359815,0.8115527424
SLX4IP,-0.1658717118,NaN
JAG1,-2.0802150404,0.0231241693
LOC339593,-0.0635296015,NaN
BTBD3,-2.0022029829,NaN
SPTLC3,0.7724282421,NaN
ISM1,-1.0997718459,NaN
ISM1-AS1,-0.0247642211,NaN
TASP1,0.1572819965,0.9222076513
ESF1,-3.314671334,0.0115055275
NDUFAF5,-2.7071228136,0.0478185322
SEL1L2,-0.0127306013,NaN
MACROD2,-2.0938791656,0.1407112168
FLRT3,0.1515301284,0.9299844131
MACROD2-AS1,NaN,NaN
KIF16B,-2.3323252291,NaN
SNRPB2,0.0451410105,0.9732214883
OTOR,NaN,NaN
PCSK2,-0.8758008627,NaN
BFSP1,-1.53166173,NaN
DSTN,-1.0881449774,0.3257962814
RRBP1,-0.8632362534,0.4200658444
BANF2,-0.0127306013,NaN
SNX5,-0.1867791763,0.891476194
SNORD17,1.4910503357,0.313232939
MGME1,-1.24919853,0.3762381355
OVOL2,-0.7755306766,NaN
PET117,-0.7191696197,NaN
CSRP2BP,-0.0645147573,0.9744883532
ZNF133,-2.9588533312,0.0287748041
LINC00851,NaN,NaN
DZANK1,-1.0864840098,NaN
POLR3F,0.9123327255,0.378302674
MIR3192,-0.0127306013,NaN
RBBP9,0.8541411496,0.5231187028
SEC23B,0.0227384535,0.9902588947
LINC00493,1.0464543404,0.335737242
DTD1,-0.2882707979,0.8510465573
LINC00652,NaN,NaN
LOC100270804,-0.4374388521,NaN
C20orf78,NaN,NaN
SCP2D1,2.7209444098,0.0486801616
SLC24A3,-1.6457122401,0.2079750759
LOC100130264,-0.0472189909,NaN
RIN2,0.3719342268,0.833832819
NAA20,0.5698404455,0.5974099435
CRNKL1,-0.1129401303,0.9403485867
C20orf26,2.7195909497,NaN
INSM1,-0.0872912526,NaN
RALGAPA2,-1.0344403752,0.2892674274
PLK1S1,-1.0017926865,0.5000100726
XRN2,-0.9850264053,0.3258530654
NKX2-4,NaN,NaN
NKX2-2,-0.0441911372,NaN
PAX1,-0.1880544436,NaN
LOC100270679,-0.0441911372,NaN
LOC284788,NaN,NaN
LINC00261,-1.6883861928,NaN
FOXA2,0.0310388474,NaN
SSTR4,NaN,NaN
THBD,-2.0343192306,0.0607510257
CD93,-0.9836363703,0.1925432285
LINC00656,-0.6763203105,NaN
NXT1,-0.9879597271,0.4326891724
GZF1,0.1183679427,0.9379903712
NAPB,0.0216348938,0.9903593738
CSTL1,NaN,NaN
CST11,NaN,NaN
CST8,-0.0441911372,NaN
CST13P,NaN,NaN
CST9L,NaN,NaN
CST9,NaN,NaN
CST3,0.7548661886,0.5684306653
CST4,NaN,NaN
CST1,-0.3137665583,NaN
CST2,-0.1414789492,NaN
CST5,-0.5823338344,NaN
GGTLC1,-2.3531206718,NaN
FLJ33581,NaN,NaN
SYNDIG1,-0.8156018523,NaN
CST7,2.5335816175,0.0189614358
APMAP,-0.4674355359,0.7641883629
ACSS1,-3.2360010693,0.0146675924
VSX1,2.7316798633,NaN
LOC284798,-0.1968058487,NaN
ENTPD6,-3.9428860355,0.0014939823
PYGB,-1.9042023423,0.1295072065
ABHD12,-0.884230575,0.5387994299
GINS1,0.9967148264,NaN
NINL,-0.6775713054,NaN
NANP,-2.4418382972,0.0756061656
ZNF337,-2.6862330722,0.0245654596
FAM182B,-0.2457309495,NaN
LOC100134868,-0.1932606892,NaN
FAM182A,-0.4472981943,NaN
NCOR1P1,NaN,NaN
LOC284801,-0.2797083349,NaN
MIR663A,NaN,NaN
FRG1B,-1.4574297624,NaN
MLLT10P1,NaN,NaN
DEFB115,NaN,NaN
DEFB116,NaN,NaN
DEFB118,-0.1704955008,NaN
DEFB119,NaN,NaN
DEFB121,NaN,NaN
DEFB122,NaN,NaN
DEFB123,NaN,NaN
DEFB124,-0.1574192489,NaN
REM1,-1.6042163034,NaN
LINC00028,-0.3383001487,NaN
HM13,-0.5019790399,0.6576786264
PSIMCT-1,-0.8817798376,NaN
HM13-AS1,-0.7159687902,NaN
ID1,-1.4743576628,0.2557609891
MIR3193,-0.0558826286,NaN
COX4I2,-1.9249912678,NaN
BCL2L1,-2.2384147379,0.0331374838
TPX2,0.9109439394,NaN
MYLK2,-0.1704955008,NaN
FOXS1,-1.6556705684,NaN
DUSP15,-0.6402638856,NaN
TTLL9,-0.0558826286,NaN
PDRG1,-3.2005449116,0.0084266834
XKR7,NaN,NaN
CCM2L,-2.2264088014,0.1141659736
HCK,2.5658946022,4.23E-05
TM9SF4,-0.1004895061,0.9447623899
TSPY26P,-0.2710024151,NaN
PLAGL2,0.4443901204,0.7479135405
POFUT1,-0.682180991,0.5734603523
KIF3B,-3.182540837,0.0052710662
ASXL1,-2.0790113499,0.041497805
C20orf112,-0.6583924445,0.5905697113
LOC149950,NaN,NaN
C20orf203,1.8303687319,NaN
COMMD7,-1.9901177942,0.076949761
DNMT3B,0.4104207787,NaN
MAPRE1,0.6246905577,0.5783483214
SUN5,NaN,NaN
BPIFB2,3.5252428024,NaN
BPIFB6,NaN,NaN
BPIFB3,NaN,NaN
BPIFB4,NaN,NaN
BPIFA2,-0.2325565026,NaN
BPIFA4P,NaN,NaN
BPIFA3,NaN,NaN
BPIFA1,-0.1762590743,NaN
BPIFB1,-0.4106250492,NaN
CDK5RAP1,-0.7149293083,NaN
SNTA1,-2.3807214027,0.0862149496
CBFA2T2,-2.9847383507,0.0270181427
NECAB3,-2.0150484943,NaN
C20orf144,-0.0127306013,NaN
ACTL10,-0.2950043098,NaN
E2F1,-1.1515181085,NaN
PXMP4,-1.5144104567,NaN
ZNF341,-1.5699850151,NaN
CHMP4B,-0.8408689499,0.3887749521
RALY,-1.1153829227,0.3024944397
MIR4755,NaN,NaN
EIF2S2,-0.5902236029,0.567006105
ASIP,1.6323848149,NaN
AHCY,-0.7707562218,0.4304075647
ITCH,-1.0956459098,0.3562017695
MIR644A,-0.0815314786,NaN
DYNLRB1,1.6307129098,0.0495545032
MAP1LC3A,-1.4191528754,0.2611763957
PIGU,-2.2600837386,0.0785503402
TP53INP2,-1.3791481074,0.2187792454
NCOA6,-0.1991350316,0.8924897619
HMGB3P1,-0.1414789492,NaN
GGT7,-1.1812465276,0.3647167661
ACSS2,-0.6617622621,0.6280887087
GSS,-2.4179552279,0.0367519028
MYH7B,-1.242557857,NaN
MIR499A,-0.0362339798,NaN
MIR499B,NaN,NaN
TRPC4AP,-2.89995171,NaN
EDEM2,-1.5884800932,0.1658563649
PROCR,-0.2338300663,0.8721704664
MMP24,-2.740337763,0.0454112329
EIF6,-1.5563667897,0.0859601675
FAM83C,NaN,NaN
UQCC,-3.2305777424,0.0148109658
GDF5,-0.7239522471,NaN
CEP250,-3.2094950017,0.0157885152
C20orf173,-0.0127306013,NaN
ERGIC3,-0.2082251522,0.8732249992
SPAG4,-2.3940153709,NaN
CPNE1,0.0947008623,0.9330994151
RBM12,-1.4609437782,0.1779346288
NFS1,-0.3301731557,0.8347264417
ROMO1,-1.2993700276,0.1658303726
RBM39,-1.5577995962,0.0556559346
PHF20,-0.7673062693,0.4738353566
SCAND1,-1.6755548581,0.1460666163
CNBD2,-0.0635296015,NaN
LINC00657,-2.7243240192,0.0021662804
EPB41L1,-1.6452571244,NaN
AAR2,-1.6149088563,0.1261622654
DLGAP4,-0.4050482164,0.6874999303
MYL9,0.0046445801,0.9981383683
TGIF2,-1.0967671968,0.3278173242
TGIF2-C20orf24,NaN,NaN
C20orf24,-1.7279929752,0.1591513723
SLA2,-1.9466339963,NaN
NDRG3,-2.3932161544,0.0715921152
DSN1,-2.328835562,NaN
SOGA1,-2.4632957354,0.0741677746
C20orf118,2.1346283587,NaN
SAMHD1,0.5771901124,0.6980133097
RBL1,1.4675175813,NaN
MROH8,2.600215525,0.0354334193
RPN2,-0.2309542099,0.8323227888
GHRH,NaN,NaN
MANBAL,0.1058473459,0.9280254152
SRC,0.0547304855,0.9782363497
BLCAP,-3.785968512,0.0010512723
NNAT,-0.3746201527,NaN
LINC00489,NaN,NaN
LOC100287792,-0.1704955008,NaN
CTNNBL1,-1.7976141335,0.0622588688
VSTM2L,-0.937440807,NaN
TTI1,-0.164126032,0.9087921355
RPRD1B,-1.5160308823,0.1612740105
TGM2,-1.3092068663,0.1393989147
KIAA1755,1.5069249041,NaN
BPI,2.8231603436,0.0237365618
LBP,2.0755862918,0.1447890782
LOC388796,-1.3892060407,0.2048373962
SNORA71B,1.4747830028,NaN
SNORA71A,-0.3617810335,NaN
SNORA71C,-0.1054558736,NaN
SNORA71D,NaN,NaN
SNHG11,-2.2624523272,0.1062087886
SNORA39,-0.2069664235,NaN
SNORA60,-0.0679534862,NaN
RALGAPB,-1.4588338014,0.1873648498
ADIG,-0.0815314786,NaN
ARHGAP40,-0.0577779504,NaN
SLC32A1,-0.0127306013,NaN
ACTR5,-2.8220389859,0.0383225393
PPP1R16B,-3.8138451668,0.0025431759
FAM83D,0.3918261343,NaN
DHX35,-2.6068743005,0.056737717
LOC339568,NaN,NaN
MAFB,-0.1177177626,0.9309142161
TOP1,-0.5261013535,0.6950955936
PLCG1,-2.6011893258,0.0285213298
ZHX3,-3.0964541041,0.0223092834
LPIN3,-1.771324479,NaN
EMILIN3,-0.2382551573,NaN
CHD6,-1.3108144432,0.300416817
PTPRT,-0.1932693616,NaN
SRSF6,-0.9518083735,0.4463939712
L3MBTL1,-0.8008696874,NaN
SGK2,-0.4695145992,NaN
IFT52,-1.3415056478,0.3141058993
MYBL2,-0.8046686835,NaN
GTSF1L,-0.0247642211,NaN
TOX2,-1.9483668238,0.1290018704
JPH2,-1.3989882005,0.3601391044
C20orf111,-1.4150735766,0.2920985647
LOC100505783,-0.6303965424,NaN
GDAP1L1,-0.1364887046,NaN
FITM2,-0.0965089511,NaN
R3HDML,NaN,NaN
HNF4A,-0.1437465976,NaN
MIR3646,NaN,NaN
TTPAL,-0.4216714786,0.7839126762
SERINC3,0.1875555443,0.8759647976
PKIG,-0.5745150612,0.5238981043
ADA,1.1083423735,0.2121594181
LOC79015,2.4423980305,NaN
WISP2,-3.074792131,0.0265376443
KCNK15,-0.9513470002,NaN
RIMS4,-0.4781003531,NaN
YWHAB,0.1843876037,0.8752468793
PABPC1L,-1.7648490657,NaN
TOMM34,-2.5406713939,0.0430167183
STK4-AS1,-0.1154693445,NaN
STK4,0.8666955692,0.5215633121
KCNS1,1.3890054981,NaN
WFDC5,NaN,NaN
WFDC12,-0.2382551573,NaN
PI3,1.2989997572,0.3992009467
SEMG1,-0.0127306013,NaN
SEMG2,-0.0127306013,NaN
SLPI,1.7628101468,0.0464746675
MATN4,-0.3555601858,NaN
RBPJL,-0.0872912526,NaN
SDC4,0.901455875,0.4539229233
SYS1,-0.2585693308,0.8445491414
SYS1-DBNDD2,NaN,NaN
TP53TG5,-0.0127306013,NaN
DBNDD2,-1.1716548201,NaN
PIGT,-0.4107916316,0.7434137431
WFDC2,1.7500906049,0.0779290952
SPINT3,-0.0127306013,NaN
WFDC6,-0.0679534862,NaN
EPPIN-WFDC6,-0.0127306013,NaN
EPPIN,-0.3282756229,NaN
WFDC8,-0.151452841,NaN
WFDC9,NaN,NaN
WFDC10A,-0.0247642211,NaN
WFDC11,-0.0577779504,NaN
WFDC10B,-0.6935274829,NaN
WFDC13,-0.1054558736,NaN
SPINT4,NaN,NaN
WFDC3,-1.0287584963,NaN
DNTTIP1,-2.2670734455,0.054619001
UBE2C,-1.2437241081,NaN
TNNC2,-1.3057863826,NaN
SNX21,-3.0559464221,0.0234887225
ACOT8,-2.4666852771,0.0723976706
ZSWIM3,-1.7507773207,NaN
ZSWIM1,0.4540567424,NaN
SPATA25,-0.1880544436,NaN
NEURL2,-0.6959055159,NaN
CTSA,-1.4534994099,0.2152091172
PLTP,1.0985971963,0.3645161516
PCIF1,-0.2403173263,0.882031662
ZNF335,-1.4490800645,0.186195056
MMP9,-0.3665294121,0.8257753291
SLC12A5,-0.7841089097,NaN
NCOA5,-0.8726938501,0.465617616
CD40,-0.7725107694,0.5447744375
CDH22,-0.0984150889,NaN
SLC35C2,-1.869781249,0.0850638124
ELMO2,0.0458000836,0.9808332411
ZNF663,-0.0635296015,NaN
MKRN7P,-0.0247642211,NaN
ZNF334,-0.7835085294,NaN
OCSTAMP,-0.0247642211,NaN
SLC13A3,-1.3818238373,NaN
TP53RK,-1.5414981648,0.2115844301
SLC2A10,-1.6783230259,NaN
EYA2,-1.1853596407,NaN
MIR3616,NaN,NaN
ZMYND8,-2.813853414,0.0250028995
LOC100131496,-0.1467000861,NaN
NCOA3,-0.0166174609,0.9939576323
SULF2,-1.5563444654,0.2462373425
LINC00494,-0.318624666,NaN
PREX1,-0.9993953649,0.4507057128
ARFGEF2,-1.2573876848,0.3097022163
CSE1L,-1.3109092525,0.2583134535
STAU1,0.6064086937,0.6277557742
DDX27,-0.1030356602,0.9364224989
ZNFX1,0.5790150055,0.5985774217
ZFAS1,-0.094110417,0.9477370926
SNORD12C,-0.1054558736,NaN
SNORD12B,-0.3016306989,NaN
SNORD12,-0.5299798038,NaN
KCNB1,-0.2289960061,NaN
PTGIS,-3.0024591681,0.0171077599
B4GALT5,-0.0200246506,0.9878447986
SLC9A8,1.7410448344,0.0328848971
SPATA2,-0.8693767484,0.4920898517
RNF114,-0.3010868591,0.7995411174
SNAI1,-3.1046790525,0.0047343701
LINC00651,NaN,NaN
UBE2V1,-0.2344745159,NaN
TMEM189-UBE2V1,NaN,NaN
TMEM189,-1.8488621132,0.1043308718
CEBPB,0.3823722901,0.6872627969
LOC284751,2.3568450856,0.0629609085
PTPN1,-2.257778305,0.0509439543
MIR645,-0.3052449,NaN
FAM65C,-2.6475863764,0.0537677498
PARD6B,-2.299817197,0.09820001
BCAS4,-1.5792392923,NaN
ADNP,-0.4106642883,0.7828916726
DPM1,-1.8507397718,0.0967505511
MOCS3,-1.8343101709,NaN
KCNG1,-0.8295315591,NaN
NFATC2,-3.5963674756,0.0050443212
MIR3194,NaN,NaN
ATP9A,-0.1341994782,0.9330994151
SALL4,-0.3311058595,NaN
ZFP64,0.7170463889,0.6366685084
TSHZ2,-2.000691868,0.1528265451
ZNF217,-0.4228864645,0.7585167992
SUMO1P1,1.0859861768,NaN
BCAS1,1.7395641445,NaN
MIR4756,NaN,NaN
CYP24A1,2.5147550797,0.0644481561
PFDN4,0.4890986469,0.7314387222
DOK5,0.9115361214,0.4948441213
CBLN4,-0.2710024151,NaN
MC3R,-0.0362339798,NaN
FAM210B,-0.2799550061,0.8556998582
AURKA,-1.2504808722,NaN
CSTF1,-1.0325804771,0.4237359191
CASS4,-1.4432045118,NaN
RTFDC1,-0.0887561326,0.9404787949
GCNT7,-0.2824657433,NaN
FAM209A,-0.4583414745,NaN
FAM209B,-0.4372197613,NaN
TFAP2C,-1.5312901201,NaN
BMP7,-0.7563509488,NaN
MIR4325,NaN,NaN
SPO11,NaN,NaN
MIR5095,NaN,NaN
RAE1,-1.5423789254,0.142789465
MTRNR2L3,2.0475332679,NaN
RBM38,-0.0176490646,0.9925827427
CTCFL,-0.3036612775,NaN
PCK1,-0.0635296015,NaN
ZBP1,4.4425033068,3.40E-09
PMEPA1,-1.7454176014,0.111428902
MIR4532,NaN,NaN
C20orf85,2.0770779031,0.0779290952
PPP4R1L,-0.1676585133,NaN
RAB22A,-0.5748244174,0.5819918491
VAPB,-2.0697675999,0.0477919827
APCDD1L,-0.304777171,NaN
APCDD1L-AS1,-0.3012097685,NaN
STX16,-0.6748755295,0.5623894677
STX16-NPEPL1,-0.121449392,NaN
NPEPL1,-0.3400964847,NaN
MIR296,NaN,NaN
MIR298,NaN,NaN
GNAS-AS1,-0.0127306013,NaN
GNAS,1.4400997258,0.0785369048
NELFCD,-1.6237194417,0.1031987047
CTSZ,-0.9315031501,0.4224096296
TUBB1,-1.5924347047,NaN
SLMO2-ATP5E,NaN,NaN
